tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis,,
Artigo Publicado,Realidades aumentada e virtual no ensino de Ciências para alunos com necessidades educacionais específicas em uma escola pública de Barreirinhas-MA,2021,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"SOUSA, CLAUDIENE CANTANHEDE (SOUSA, CLAUDIENE CANTANHEDE), LIMA, FRANCIANE DE CASTRO (LIMA, FRANCIANE DE CASTRO), MELO, NICOLAS OLIVEIRA (MELO, NICOLAS OLIVEIRA), RIBEIRO-NOVAES, EVILLE KARINA DELGADO (RIBEIRO-NOVAES, EVILLE KARINA DELGADO), Ariel Soares Teles (Teles, Ariel Soares)",A1,,
Artigo Publicado,Distribution of Safety Messages Using Mobility-Aware Multi-Hop Clustering in Vehicular Ad Hoc Network,2021,,,,Future Internet,,,"CHILUVERU, RAJESHWARI (CHILUVERU, RAJESHWARI), GUPTA, NISHU (GUPTA, NISHU), Ariel Soares Teles (Teles, Ariel Soares)",A3,,
Artigo Publicado,Mineracão de dados da educação básica brasileira usando as bases do INEP: Uma revisão sistemática da literatura,2021,,,,RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO,,,"DE CASTRO SOARES, RAIMUNDO (DE CASTRO SOARES, RAIMUNDO), WEBER NETO, NELSON (WEBER NETO, NELSON), REIS COUTINHO, LUCIANO (REIS COUTINHO, LUCIANO), da Silva e Silva, Francisco José (da Silva e Silva, Francisco José), VIANA DOS SANTOS, DAVI (VIANA DOS SANTOS, DAVI), Ariel Soares Teles (SOARES TELES, ARIEL)",A4,,
Artigo Publicado,A computer vision-based mobile tool for assessing human posture: A validation study,2022,,,,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,,,"MOREIRA, RAYELE (MOREIRA, RAYELE), FIALHO, RENAN (FIALHO, RENAN), Ariel Soares Teles (Teles, Ariel Soares), BORDALO, VINICIUS (BORDALO, VINICIUS), VASCONCELOS, SAMILA SOUSA (VASCONCELOS, SAMILA SOUSA), GOUVEIA, GUILHERME PERTINNI DE MORAIS (GOUVEIA, GUILHERME PERTINNI DE MORAIS), BASTOS, VICTOR HUGO (BASTOS, VICTOR HUGO), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR)",A1,,
Artigo Publicado,Utilização de realidade aumentada e virtual por professores do ensino especial: uma análise de usabilidade e experiência do usuário,2021,,,,RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO,,,"LIMA, FRANCIANE (LIMA, FRANCIANE), SOUSA, CLAUDIENE (SOUSA, CLAUDIENE), MELO, NICOLAS (MELO, NICOLAS), RIBEIRO-NOVAES, EVILLE (RIBEIRO-NOVAES, EVILLE), VIANA, DAVI (VIANA, DAVI), Ariel Soares Teles (SOARES TELES, ARIEL)",A4,,
Artigo Publicado,Towards identifying context-enriched multimodal behavioral patterns for digital phenotyping of human behaviors,2022,,,,Future Generation Computer Systems,,,"MOURA, IVAN (MOURA, IVAN), Ariel Soares Teles (Teles, Ariel), COUTINHO, LUCIANO (COUTINHO, LUCIANO), SILVA, FRANCISCO (SILVA, FRANCISCO)",A2,,
Artigo Publicado,Sensing Apps and Public Data Sets for Digital Phenotyping of Mental Health: Systematic Review,2022,,,,JOURNAL OF MEDICAL INTERNET RESEARCH,,,"MENDES, JEAN P M (MENDES, JEAN P M), MOURA, IVAN R (MOURA, IVAN R), VAN DE VEN, PEPIJN (VAN DE VEN, PEPIJN), VIANA, DAVI (VIANA, DAVI), SILVA, FRANCISCO J S (SILVA, FRANCISCO J S), COUTINHO, LUCIANO R (COUTINHO, LUCIANO R), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), RODRIGUES, JOEL J P C (RODRIGUES, JOEL J P C), Ariel Soares Teles (Teles, Ariel Soares)",A1,,
Artigo Publicado,Uma ferramenta baseada em aprendizado profundo para o suporte à decisão de diagnóstico de distúrbios vestibulares periféricos,2022,,,,"RESEARCH, SOCIETY AND DEVELOPMENT",,,"CASTRO, ANTÔNIA DE MARIA RODRIGUES DE SOUSA (CASTRO, ANTÔNIA DE MARIA RODRIGUES DE SOUSA), Ariel Soares Teles (Teles, Ariel Soares), LIMA, LUCAS DANIEL BATISTA (LIMA, LUCAS DANIEL BATISTA), FONTENELE, JOSÉ EVERTON DA SILVA (FONTENELE, JOSÉ EVERTON DA SILVA), BASTOS, VICTOR HUGO DO VALE (BASTOS, VICTOR HUGO DO VALE), TEIXEIRA, SILMAR SILVA (TEIXEIRA, SILMAR SILVA)",A1,,
Artigo Publicado,Boamente: A Natural Language Processing-Based Digital Phenotyping Tool for Smart Monitoring of Suicidal Ideation,2022,,,,Healthcare,,,"DINIZ, EVANDRO J. S. (DINIZ, EVANDRO J. S.), Ariel Soares Teles (TELES, ARIEL S.), FONTENELE, JOSÉ E. (FONTENELE, JOSÉ E.), DE OLIVEIRA, ADONIAS C. (DE OLIVEIRA, ADONIAS C.), BASTOS, VICTOR H. (BASTOS, VICTOR H.), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), RABÊLO, RICARDO L. (RABÊLO, RICARDO L.), CALÇADA, DARIO B. (CALÇADA, DARIO B.), DOS SANTOS, RENATO M. (DOS SANTOS, RENATO M.), DE OLIVEIRA, ANA K. (DE OLIVEIRA, ANA K.)",A3,,
Artigo Publicado,Motor Rehabilitation of Upper Limbs Using a Gesture-based Serious Game: Evaluation of Usability and User Experience,2022,,,,Games for Health Journal,,,"BALUZ, RODRIGO (BALUZ, RODRIGO), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), Ariel Soares Teles (Teles, Ariel), FONTENELE, JOSÉ EVERTON (FONTENELE, JOSÉ EVERTON), MOREIRA, RAYELE (MOREIRA, RAYELE), FIALHO, RENAN (FIALHO, RENAN), AZEVEDO, PATRÍCIA (AZEVEDO, PATRÍCIA), SOUSA, DANIEL (SOUSA, DANIEL), SANTOS, FERNANDO (SANTOS, FERNANDO), BASTOS, VICTOR HUGO (BASTOS, VICTOR HUGO)",A3,,
